,name,country,sector,founded,marketcap,revenue,employees,website,ceo,idDocDB
1213,AKTSIASELTSSEBVARAHALDUS 10035169,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA TORNIM E TN,FUND MANAGEMENT ACTIVITIES,,,,,,,
1214,AKTSIASELTSSPACECOMTRANS 11145977,HARJU MAAKOND TALLINN HAABERSTI LINNAOSA M ISA TN,RENTING OF RAIL VEHICLES,,,,,,,
1215,AKTSIASELTSTALLINNAT STUSPARGID 11066456,HARJU MAAKOND TALLINN N MME LINNAOSA M NNIKU TEE,RENTAL AND OPERATING OF OWN OR LEASED REAL ESTATE,,,,,,,
1216,AKULAKU,CHINA,E COMMERCE DIRECT TO CONSUMER,2015,,,,HTTPS://WWW.AKULAKU.COM/,,
1217,AKUMENTIS HEALTHCARE,INDIA,HEALTHCARE,2010,,,,,,174216
1218,AKUMIN,CANADA,DIAGNOSTICS,,91450000,,1737,,MR RIADH ZINE EL ABIDINE,
1219,AKUMS DRUGS PHARMACEUTICALS,INDIA,PHARMA,2004,,,,,,295006
1220,AKWABA SPAO 12623232,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA MARDI TN,ACTIVITIES OF SAUNAS SUNBEDS AND MASSAGE SALONS AND OTHER SERVICES RELATED TO PHYSICAL WELL BEING,,,,,,,249999
1221,AKWEL,FRANCE,,,,,10457,,,
1222,AKZO NOBEL,NETHERLANDS,CHEMICALS,1969,20741000000,11400000000,32200,HTTPS://WWW.AKZONOBEL.COM,THIERRY VANLANCKER,65517
1223,AL ABDULLATIF INDUSTRIAL INVESTMENT COMPANY,SAUDI ARABIA,ENGINEERING CONSTRUCTION,1960,1290000000,254000000,,HTTP://ALHAMMADI.COM/,MR ABDULLATIF OMAR SULEIMAN AL ABDULLATIF,144830
1224,AL ADRAK TRADING AND CONTRACTING,OMAN,ENGINEERING CONSTRUCTION,1990,,,,,,24276
1225,AL AHLEIA SWITCHGEAR,KUWAIT,INDUSTRIAL MACHINERY,1982,,,,,,233227
1226,AL BABTAIN POWER AND TELECOMMUNICATION CO,SAUDI ARABIA,IT SERVICES,,740000000,,,,,271767
1227,AL BASTI MUKTHA LLC,UNITEDARABEMIRATES,ENGINEERING CONSTRUCTION,1974,,,,,,156993
1228,AL DAR PROPERTIES,UAE,REAL ESTATE INVESTMENT,1958,9480000000,,,,,7429
1229,AL FUTTAIM GROUP,UNITED ARAB EMIRATES UAE,RETAIL,1930,,,,,,181972
1230,AL GIHAZ HOLDING,SAUDI ARABIA,ELECTRONICS MANUFACTURING,1975,80740000000,6740000000,,,,235850
1231,AL GROUP LTD,HONG KONG,,,,,40,,MR TEK SIAN KWAN,153291
1232,AL MAHA FOODS INTERNATIONAL,,OTHER,,3170000000,1000000000,4100,,,83258
1233,AL MEERA CONSUMER GOODS COMPANY,QATAR,,,1077000000,775000000,,HTTPS://WWW.ALMEERA.COM.QA/,,142171
1234,AL MUZAIN,SAUDI ARABIA,OIL GAS,1996,85280000000,,,,,
1235,AL NABA SERVICES LLC,OMAN,FACILITY MANAGEMENT SERVICES,1984,,,,,,210524
1236,AL ONE,ITALY,MEDIA,2011,,2684807,21,HTTPS://WWW.AL-ONE.IT,,107015
1237,AL RAJHI BANK,SAUDI ARABIA,BANKING,1957,82580000000,6700000000,9300,HTTPS://WWW.ALRAJHIBANK.COM.SA/,WALID BIN ABDULLAH AL MOQBEL,481205
1238,AL RAJHI BANKING AND INVESTMENT CORP,SAUDI ARABIA,FICIALS,,106370000000,,15078,,,245834
1239,AL YAMAMA COMPANY,SAUDI ARABIA,ENGINEERING CONSTRUCTION,1952,3512000000,5830000,,HTTPS://WWW.ALABAMAPOWER.COM/,,152125
1240,ALA S R L,ITALY,COSTRUZIONI IMPIANTISTICA,,,,5293,,,47682
1241,ALABAMA POWER,USA,ENERGY ELECTRICITY UTILITYCOMPANIES,1955,760000000,6480000000,6100,HTTPS://WWW.ALACERGOLD.COM/,,241187
1242,ALABAMA STATE OF,UNITED STATES,,,,,,,,42211
1243,ALACRITY ECOMMERCE SOLUTIONS,INDIA,IT SERVICES CONSULTING,2010,,,,,,34193
1244,ALADDIN HEALTHCARE TECHNOLOGIES HOLDING SE,GERMANY,,,,,3,,MR WADE MENPES SMITH,281509
1245,ALAMAR FOODS COMPANY,SAUDI ARABIA,FOOD,,930000000,,,,MR HATHAL BIN SAAD MUNIR AL OTAIBI,356
1246,ALAMO GROUP,CANADA,AGRICULTURE MACHINERYMANUFACTURING MANUFACTURING,2003,1800000000,1460000000,4275,HTTPS://WWW.ALAMOSGOLD.COM,MR SONNY MIRBORN,80716
1247,ALAMOS GOLD INC,CANADA,,,,,1900,,MR JOHN A MCCLUSKEY,428685
1248,ALAN,FRANCE,FINTECH,2016,37070000000,8300000000,24389,,DAVID J ENDICOTT,246243
1249,ALAN ALLMAN ASSOCIATES,FRANCE,,,,,,,MR JEAN MARIE THUAL,88631
1250,ALAND DEVELOPMENTS,AUSTRALIA,CONSTRUCTION,2002,,124,80,HTTPS://ALAND.COM.AU/,,76895
1251,ALANKIT,INDIA,,1991,,,,,,
1252,ALANTRA PARTNERS SA,SPAIN,,,,,657,,MR SANTIAGO EGUIDAZU MAYOR,289702
1253,ALARIS HOLDINGS LTD,SOUTH AFRICA,,,,,174,,MR JURGEN DRESEL,274733
1254,ALARKO CARRIER SANAYI VE TICARET A S,TURKEY,,,,,641,,,507534
1255,ALARM COM,USA,,2000,2570000000,748000000,884,HTTPS://WWW.ALARM.COM/,,270696
1256,ALASKA AIR GROUP INC,UNITED STATES,INTERNET SOFTWARE SERVICES,2012,,,20550,,MR BENITO MINICUCCI,165299
1257,ALASKA AIRLINES,USA,AIRLINES TRAVEL TRANSPORTATION,1932,5740000000,8250000000,22354,WWW.ALASKAAIR.COM,,44162
1258,ALBA,ITALY,ENERGY,2010,8910000000,2578177,27,HTTPS://WWW.ALBAIMPIANTI.IT,ROY HARVEY,257409
1259,ALBA BIOSCIENCE LIMITED,UNITED KINGDOM,,,,,,,,49960
1260,ALBA PLC CO KGAA,BERLIN,PROFE IONAL SERVICES,1968,,2118,7800,WWW.ALBA.INFO,,362507
1261,ALBA SE,GERMANY,,,,,386,,,257409
1262,ALBAAD MASSUOT YITZHAK LTD,ISRAEL,,,,,1822,,MR DAN MESIKA,186938
1263,ALBARAKA T RK KATILIM BANKASI A S,TURKEY,,,,,2943,,,385953
1264,ALBEMARLE,USA,CHEMICALS,1993,30170000000,3330000000,6000,HTTPS://WWW.ALBEMARLE.COM/,JERRY KENT MASTERS,9616
1265,ALBEMARLE CORPORATION,UNITED STATES,BASIC MATERIALS,1994,25250000000,71890000000,6000,HTTPS://WWW.ALCOA.COM,MR JERRY KENT MASTERS JR,354459
1266,ALBERT HANDTMANN HOLDING VERWALTUNGS GMBH,BIBERACH AN DER RIB,PROFE IONAL SERVICES,1873,,1010,3700,WWW.HANDTMANN.DE,,170193
1267,ALBERTANI,ITALY,CONSTRUCTION,2012,11200000000,1,8,HTTPS://WWW.ALBERTANICASA.COM,VIVEK SANKARAN,
1268,ALBERTON ACQUISITION CORPORATION,HONG KONG,,,,,,,MS GUAN WANG,372353
1269,ALBIOMA,FRANCE,,,1217000000,573000000,558,HTTPS://WWW.ALBIOMA.COM/EN/,MR FR D RIC MOYNE,
1270,ALBION DEVELOPMENT VCT PLC,UNITED KINGDOM,,,,,,,,362507
1271,ALBIREO PHARMA,USA,PHARMACEUTICALS BIOTECH,,910000000,,,,,475833
1272,ALBIS LEASING AG,GERMANY,,,,,128,,,32883
1273,ALCANNA INC,CANADA,HEALTHCARE,1945,38900000000,,2264,,MR JAMES FRANKLIN CHARLES BURNS,420882
1274,ALCATEL LUCENT,BOULOGNE BILLANCOURT,TELECOMMUNICATIONS EQUIPMENT,2006,,,,,,287856
1275,ALCATEL LUCENT TELETAS TELEKOM NIKASYON A S,TURKEY,,,,,400,,,287856
1276,ALCHEM INTERNATIONAL,INDIA,PHARMA,1935,,,,,,164032
1277,ALCHEMIST HOSPITAL,INDIA,HEALTHCARE,1994,,,,,,61733
1278,ALCHEMY,UNITED STATES,FINTECH,2017,,12820000000,,,,260848
1279,ALCHEMY CAREERS,SAN FRANCISCO,COMPUTER SOFTWARE,2017,,,25,ALCHEMY.COM,,292013
1280,ALCHEMY TECHSOL INDIA,INDIA,IT SERVICES CONSULTING,2014,,,,,,260848
1281,ALCHIP TECHNOLOGIES,TAIWAN,,2003,2373000000,345000000,,HTTP://WWW.ALCHIP.COM/,MR SHYANG LIN SHEN,435828
1282,ALCIDION GROUP LIMITED,AUSTRALIA,,,,,,,MS KATE QUIRKE,181511
1283,ALCO FOODS,,,,,,,,,239165
1284,ALCOR MICRO CORP,TAIWAN,,,,,,,,214635
1285,ALD AUTOMOTIVE,FRANCE,INDUSTRIES,1946,5010000000,11536000,6700,HTTPS://WWW.ALDAUTOMOTIVE.COM/,MR TIM T ALBERTSEN,258026
1286,ALD AUTOMOTIVE ITALIA SRL,ITALY,SERVICES,1987,,,,,,413830
1287,ALDA CASTILLA,SPAIN,TRAVEL LEISURE,2014,,2,45,HTTPS://WWW.ALDAHOTELS.ES/,,126611
1288,ALDEBARAN RESOURCES INC,CANADA,,,,,,,MR JOHN E BLACK B SC M SC,390141
1289,ALDEYRA THERAPEUTICS,USA,PHARMACEUTICALS,,360000000,,,,,161274
1290,ALDI,GERMANY,RETAIL,1946,,62540000,30000,HTTPS://ALDI.COM/,,359873
1291,ALDI DISCOUNTER NORD S D,E EN AND M LHEIM AN DER RUHR,RETAIL,1913,,100423,208000,WWW.ALDI.DE,,359873
1292,ALDONSPARTO 12607693,,OTHER BUSINESS SUPPORT SERVICE ACTIVITIES N E C,,,,,,,
1293,ALDREES PETROLEUM AND TRANSPORT SERVICES COMPANY,SAUDI ARABIA,,,1403000000,,,HTTPS://WWW.ALDREES.COM/,ENGINEER ABDULELAH BIN SAAD AL DREES,258375
1294,ALE PROPERTY GROUP,AUSTRALIA,,,,,,,,7429
1295,ALEATICA S A B DE C V,MEXICO,,1974,3498000000,15465000,1610,HTTPS://WWW.ALFA.COM.MX/,MR JOSE DE JESUS VALDEZ SIMANCAS,20183
1296,ALEC,UAE,ENGINEERING CONSTRUCTION,1999,,,,,,149148
1297,ALECTIA,VIRUM,BUSINESS SUPPORT SERVICES,1912,1456000000,207000000,185,HTTPS://ALECTOR.COM/,,
1298,ALEDADE,UNITED STATES,HEALTH,2014,,,,,,
1299,ALEKSANDARSPASICO 16254949,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA VIRU V LJAK,OTHER EDUCATION N E C,,,,,,,
1300,ALEKSANDRBESPALOV 11565053,IDA VIRU MAAKOND NARVA LINN HARIDUSE TN,TAXI OPERATION,,,,,,,
1301,ALEKSANDRSPA T ANSKI 11610492,,,,,,,,,329399
1302,ALEKSANDRSPATAR 10829923,,,,,,,,,
1303,ALELION ENERGY SYSTEMS AB,SWEDEN,,,,,37,,,233226
1304,ALEMBIC,INDIA,PHARMA,1907,,,,,,249719
1305,ALEMBIC LIMITED,INDIA,PHARMACEUTICALS,1907,220000000,664000000,11576,HTTPS://WWW.ALEMBICPHARMACEUTICALS.COM/,,181511
1306,ALENIA AERMACCHI,VENEGONO SUPERIORE,AEROSPACE,2012,,,,,,487772
1307,ALERION CLEAN POWER,ITALY,SERVICES,1999,996000000,149000000,42,HTTPS://WWW.ALERION.IT/,MR JOSEF GOSTNER,526364
1308,ALERUS FINANCIAL,USA,BANKS FICIAL SERVICES,1870,450000000,379000000,793,HTTPS://ALEXANDERBALDWIN.COM,,434212
1309,ALES GROUPE,PARIS,PERSONAL PRODUCTS,1969,,,,,,491347
1310,ALESSI,OMEGNA,DURABLE HOUSEHOLD PRODUCTS,1921,,,,,,327150
1311,ALESYANAILSPAO 14495850,HARJU MAAKOND LOKSA LINN POSTI TN,HAIRDRESSING AND OTHER BEAUTY TREATMENT,,,,,,,
1312,ALEXANDER FORBES GROUP HOLDINGS LTD,SOUTH AFRICA,,,,,,,MR D J DE VILLIERS,171621
1313,ALEXANDER MARINE CO LTD,TAIWAN,,,,,,,MR HSIUNG WEI TSENG,172947
1314,ALEXANDERWERK AG,GERMANY,,,,,112,,DR ALEXANDER SCHMIDT,71278
1315,ALEXANDRIA PANKKIIRILIIKE OYJ,FINLAND,,,,,237,,,257290
1316,ALEXANDRIA REAL ESTATE EQUITIES,USA,DIVERSIFIED FICIALS,1994,23870000000,2114000,559,HTTP://WWW.ARE.COM/,JOEL S MARCUS,428371
1317,ALEXCO RESOURCE CORP,CANADA,,,,,187,,MR CLYNTON R NAUMAN B SC BSC HONS,278656
1318,ALEXELA,TALLINN,EXPLORATION PRODUCTION,1990,,,,,,475953
1319,ALEXELA ENERGIA AS,ESTONIA,,,,,,,,441230
1320,ALEXIS MULTISPECIALITY HOSPITAL,INDIA,HEALTHCARE,2010,,,,,,116155
1321,ALEXMAFUER,SPAIN,CONSTRUCTION,2003,,2,31,HTTPS://ALEXMAFUER.COM,,
1322,ALF ENGINEERING,INDIA,AUTO COMPONENTS,2006,,,,,,308567
1323,ALFA ACCIAI SPA,ITALY,MANUFACTURING,1978,,,,,,166007
1324,ALFA BETA VASSILOPOULOS,ATHENS,FOOD RETAILERS,1939,,,,,,269081
1325,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,UNITED KINGDOM,,,,,382,,MR ANDREW DENTON,245834
1326,ALFA HOLDINGS SA,BRAZIL,DRUGS BIOTECHNOLOGY,2003,2861000000,23510000000,12045,HTTPS://WWW.ALFRESA.COM/,MR PAULO GUILHERME MONTEIRO LOBATO RIBEIRO,64220
1327,ALFA INSURANCE CORPORATION,UNITED STATES,STEEL PRODUCERS STEEL INDUSTRY,1988,750000000,2285000,1600,HTTPS://WWW.ALGONQUINPOWER.COM/,MR GREGG A RUHL,173094
1328,ALFA LAVAL,SWEDEN,MANUFACTURING ENGINEERING AND SERVICE,1883,12520000000,4296000,17883,HTTPS://WWW.ALFALAVAL.COM/,MR TOM ERIXON,123078
1329,ALFA ROMEO,TURIN,AUTOMOBILES,1910,,,,,,316756
1330,ALFAMART,INDONESIA,RETAIL,1976,7570000000,6390000000,79469,,,
1331,ALFDEX,LANDSKRONA,INDUSTRIAL MACHINERY,2002,2049999999,249000000,571,HTTPS://ALFEN.COM/,,
1332,ALFEN N V,NETHERLANDS,,,,,683,,MR MARCO ROELEVELD,248382
1333,ALFIO BARDOLLA TRAINING GROUP S P A,ITALY,FICE INSURANCE AND REAL ESTATE,2006,,,20,,MR ALFIO DAVIDE BARDOLLA,119632
1334,ALFRED D PKER,GERMANY,CONSTRUCTION,1965,,77358225,55,HTTPS://WWW.TEAM-DOEPKER.DE/,,385652
1335,ALFRED DUNHILL,,FRAGRANCE,,,,,,,126854
1336,ALFRED K RCHER SE CO KG,WINNENDEN,INDUSTRIAL MANUFACTURING,1935,,2862,12300,WWW.KAERCHER.DE,,243793
1337,ALG,FRANCE,TECHNOLOGY,2010,,5,64,HTTPS://WWW2.ATTESTATIONLEGALE.FR/,,486509
1338,ALGHANIM INDUSTRIES,KUWAIT,RETAIL,1932,,,,,,249799
1339,ALGHANIM INTERNATIONAL,KUWAIT,ENGINEERING CONSTRUCTION,1960,,,,,,164032
1340,ALGOLIA,UNITED STATES,INTERNET SOFTWARE SERVICES,2012,,,,,,
1341,ALGOLUX CAREERS,MONTREAL,COMPUTER SOFTWARE,2014,,,125,WWW.ALGOLUX.COM,,460568
1342,ALGONOMY,INDIA,SOFTWARE PRODUCT,2004,,,,,,
1343,ALGONQUIN POWER UTILITIES CORP,CANADA,,,,,3445,,MR ARUN BANSKOTA,286801
1344,ALGOWATT S P A,ITALY,RETAIL TRADE,1973,,,250,,MR PAOLO PICCINI,355425
1345,ALGOWORKS TECHNOLOGIES,INDIA,IT SERVICES CONSULTING,2006,,,,,,435828
1346,ALI CAF,TAIWAN,COFFEE,,,,,,,298588
1347,ALIANSCE SONAE SHOPPING CENTERS,BRAZIL,REAL ESTATE,,2020000000,,401,,MR RAFAEL SALES GUIMAR ES,428371
1348,ALIBABA,CHINA,CONSUMER DISCRETIONARY,1999,290400000000,129979999999,259316,,MR YONG ZHANG,515689
1349,ALIBABA COM US LLC,UNITED STATES,IT SERVICES CONSULTING,1996,,,,,,143427
1350,ALIBABA GROUP,CHINA,TECHNOLOGY COMPANY,1999,351900000000,129800000000,132000,HTTPS://WWW.ALIBABA.COM/,DANIEL ZHANG,181349
1351,ALIBABA HEALTH INFORMATION TECHNOLOGY,HONG KONG,,1998,10861000000,2994000000,1036,HTTPS://WWW.ALIHEALTH.CN/,MR SHUNYAN ZHU,25154
1352,ALIBABA PICTURES GROUP LTD,HONG KONG,,,,,1348,,MR LUYUAN FAN,263382
1353,ALICE BLUE COMMODITIES,INDIA,FINTECH,2006,,,,,,189888
1354,ALICO,USA,SOFTWARE TECH,2017,180000000,2728000000,16000,HTTPS://ALIGHT.COM/,JOSEPH M HOGAN,522019
1355,ALICON CASTALLOY,INDIA,AUTO COMPONENTS,1990,,,,,,
1356,ALIGARH MUSLIM UNIVERSITY,INDIA,EDUCATION TRAINING,1877,,,,,,510921
1357,ALIGHT,,SOFTWARE TECH,,4870000000,3050000000,16000,,,102097
1358,ALIGN DEVELOPMENTS LIMITED,CROWNROAD TICKHILL DONCASTER UNITEDKINGDOM DN PA,,,,,,,,73385
1359,ALIGN TECHNOLOGY,UNITED STATES,MEDICALDEVICES TECH,1997,15360000000,3950000000,22540,,JOSEPH M HOGAN,36157
1360,ALIGNMENT HEALTHCARE,USA,HEALTHCARE,2013,2420000000,1167000,,HTTPS://WWW.ALIGNMENTHEALTHCARE.COM/,,174216
1361,ALIMENTATION COUCHE TARD,CANADA,RETAIL,1980,47070000000,70540000000,1220,HTTPS://CORPO.COUCHE-TARD.COM/,BRIAN P HANNASCH,215164
1362,ALINMA BANK,S ARABIA,BANKING,2006,17790000000,1900000000,2592,HTTPS://WWW.ALINMA.COM/,ABDULMALEK BIN ABDULLAH BIN HAMAD AL HOGAIL,82655
1363,ALION SCIENCE AND TECHNOLOGY CAREERS,MCLEAN,DEFENSE SPACE,2002,,,3000,WWW.ALIONSCIENCE.COM,,114749
1364,ALIOR BANK SA,POLAND,,,,,7441,,MR MACIEJ BRZOZOWSKI,163999
1365,ALITALIA SOCIETA AEREA ITALIANA SPA,ITALY,TRANSPORTATION COMMUNICATIONS ELECTRIC GAS AND SANITARY SERVICES,1999,,,,,,399374
1366,ALIVIRA ANIMAL HEALTH,INDIA,PHARMA,2014,,,,,,329479
1367,ALJABER ENGINEERING,QATAR,ENGINEERING CONSTRUCTION,1995,,,,,,310324
1368,ALJAZIRA TAKAFUL TAAWUNI COMPANY,SAUDI ARABIA,,,,,108,,,151097
1369,ALK ABELL,DENMARK,PHARMACEUTICALS,1923,3090000000,580000000,2537,HTTPS://WWW.ALK.NET/,MR CARSTEN HELLMANN,407962
1370,ALKALINE WATER COMPANY,USA,BEVERAGES,,35870000,152000000,667,HTTPS://WWW.ALKAMI.COM/,,404585
1371,ALKANE RESOURCES LIMITED,AUSTRALIA,,,,,,,,390077
1372,ALKEM LABORATORIES,INDIA,PHARMACEUTICALS BIOTECH,1973,4450000000,1316000000,14000,HTTPS://WWW.ALKEMLABS.COM/,,176412
1373,ALKEMILLA ECO BIO COSMETIC,ITALY,ECOMMERCE,2013,,2,9,HTTPS://WWW.ALKEMILLACOSMETICI.IT,,445448
1374,ALKEMY S P A,ITALY,,,,,708,,MR DUCCIO VITALI,355425
1375,ALKERMES,IRELAND,HEALTHCARE,1987,4450000000,1173000,2245,HTTP://WWW.ALKERMES.COM/,MR RICHARD F POPS,163601
1376,ALKHORAYEF WATER POWER TECHNOLOGIES,SAUDI ARABIA,,,,,,,,183079
1377,ALKIM ALKALI KIMYA A S,TURKEY,,,,,406,,,315110
1378,ALKYL AMINES CHEMICALS,INDIA,HEALTHCARE,1956,1000000000,191000000,547,HTTP://ALKYLAMINES.COM/,,62791
1379,ALL FOR ONE GROUP SE,GERMANY,,,,,2504,,MR LARS LANDWEHRKAMP,407511
1380,ALL GOOD,POLAND,FOOD BEVERAGE,2012,20790000,9,73,HTTPS://WWW.COFFEEDESK.PL/,YOSHIHIRO ZEN SUZUKI,339684
1381,ALL IN GAMES,POLAND,VIDEO GAMES ENTERTAINMENT,,20790000,,,,,93021
1382,ALL INSPIRE DEVELOPMENT PUBLIC COMPANY LTD,THAILAND,,,,,,,MR THANAKORN THANAWARITH,331833
1383,ALL IRON RE I SOCIMI SA,SPAIN,,,,,,,,139009
1384,ALL MEDIA EESTI AS,ESTONIA,,,,,,,,230750
1385,ALL NIPPON AIRWAYS,JAPAN,MANUFACTURING ENGINEERING AND SERVICE,1952,,8550000000,46580,,SHINYA KATANOZAKA,98108
1386,ALL RING TECH CO LTD,TAIWAN,,,,,,,MR CHENG EN OU,38331
1387,ALL SAINTS RETAIL LIMITED,UNITED KINGDOM,,,,,,,MR MARK GRAY LLB,235979
1388,ALLAHABAD BANK,INDIA,BANKING,1865,,,,,,425408
1389,ALLAHABAD HIGH COURT,INDIA,LAW ENFORCEMENT SECURITY,1869,1280000000,2512000,,HTTPS://WWW.ALLCARGOLOGISTICS.COM/,,355064
1390,ALLAKOS,USA,PHARMACEUTICALS BIOTECH,2015,610000000,277000000,351,HTTPS://WWW.ALLBIRDS.COM/,,
1391,ALLANA GROUP OF COMPANIES,INDIA,FOOD PROCESSING,1865,,,,,,193879
1392,ALLARITY THERAPEUTICS A S,DENMARK,,,,,14,,MR STEFANO R CARCHEDI,161274
1393,ALLATINI,THESSALONIKI,FOOD PRODUCTS,1858,,,,,,
1394,ALLBIZ,NICOSIA,BUSINESS SUPPORT SERVICES,1999,,,,,,
1395,ALLBRANDED,GERMANY,ADVERTISING,2011,,5,25,HTTPS://WWW.ALLBRANDED.DE,,
1396,ALLCARGO LOGISTICS,INDIA,LOGISTICS,1993,,,,,,201323
1397,ALLEANZA ASSICURAZIONI,MILAN,LIFE INSURANCE,1898,,,,,,210968
1398,ALLEGHANY,UNITED STATES,INSURANCE,1929,11358000000,12000000000,13313,HTTPS://WWW.ALLEGION.COM,JOSEPH PATRICK BRANDON,25579
1399,ALLEGHANY CORPORATION,USA,AIRLINES TRAVEL TRANSPORTATION,1929,9237000000,11914000,13313,HTTPS://WWW.ALLEGHANY.COM,MR JOHN O LARSEN,25579
1400,ALLEGIANT AIR,IRELAND,AIRLINES TRAVEL TRANSPORTATION,,1540000000,2180000000,5226,,MR DAVID D PETRATIS,280884
1401,ALLEGIS GLOBAL SOLUTIONS,UNITED STATES,RECRUITMENT,2001,,,3874,,MR RAVI VIG,65836
1402,ALLEGRO EU SA,LUXEMBOURG,CONSUMER CYCLICAL,2017,9749000000,1258000,,HTTPS://ABOUT.ALLEGRO.EU/,,148094
1403,ALLEGRO INVEST SE AKA FRE NAPF,KREFELD,FICIAL SERVICES,1990,,2403,12300,WWW.FRE NAPF.COM,,191304
1404,ALLEGRO MICROSYSTEMS,USA,SEMICONDUCTORS TECH TECH HARDWARE,1990,6450000000,840000000,4036,HTTPS://WWW.ALLEGROMICRO.COM/,,163298
1405,ALLEN CAREER INSTITUTE,INDIA,EDUCATION TRAINING,1988,,,,,,76998
1406,ALLEN S,INDIA,SWEETS AND CANDY,1744,,,,,,142042
1407,ALLENA AUTO INDUSTRIES,INDIA,AUTO COMPONENTS,1976,,,,,,375115
1408,ALLER MEDIA,COPENHAGEN,PUBLISHING,1873,,,,,,416862
1409,ALLESKLARDRUCK,GERMANY,INDUSTRIAL GOODS,2012,,3,40,HTTPS://WWW.ALLESKLARDRUCK.DE/,,
1410,ALLFUNDS GROUP PLC,UK,FICIAL SERVICES,2000,11234000000,3142000,,HTTPS://ALLFUNDS.COM/,,362507
1411,ALLGEIER SE,M NCHEN,TECHNOLOGY,1977,,788,9600,WWW.ALLGEIER.COM,,
1412,ALLIANCE AVIATION SERVICES LIMITED,AUSTRALIA,,,,,717,,MR LEE SCHOFIELD,310420
1413,ALLIANCE DATA SYSTEMS CORPORATION,USA,MINING COAL MINING,1996,4882000000,3655000,6000,HTTPS://WWW.ALLIANCEDATA.COM,,225444
1414,ALLIANCE GLOBAL,TAGUIG,MANUFACTURING ENGINEERING AND SERVICE,1993,4254000000,763000000,4118,HTTPS://WWW.ALLIANCETRUST.CO.UK/,,434035
1415,ALLIANCE HEALTHCARE GROUP LTD,SINGAPORE,FICE INSURANCE AND REAL ESTATE,1986,,,,,DR LIP MONG THNG,153291
1416,ALLIANCE HEALTHCARE ITALIA DISTRIBUZIONE SPA,ITALY,WHOLESALE TRADE,1949,,,,,,196058
1417,ALLIANCE INSPECTION MANAGEMENT CAREERS,LONG BEACH,AUTOMOTIVE,2005,,,3000,HOMEPAGE.AIMINSPECTIONS.COM,,319189
1418,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND,USA,UTILITY COMPANIES ELECTRICITY ENERGY,2000,1038000000,3000000,4118,HTTP://WWW.ALLIANCEBERNSTEIN.COM,JOHN O LARSEN,389261
1419,ALLIANCEBERNSTEIN LUXEMBOURG S A RL,ITALY,FICE INSURANCE AND REAL ESTATE,2020,,,,,,142691
1420,ALLIANCEINSAY BROKER,ITALY,INSURANCE,2011,,3,18,HTTPS://WWW.ALLIANCEINSAY.IT,,246826
1421,ALLIANT ENERGY,UNITED STATES,UTILITYCOMPANIES ELECTRICITY ENERGY,1981,14310000000,3980000000,3313,,JOHN O LARSEN,18519
1422,ALLIANZ,GERMANY,FULL LINE INSURANCE,1890,95920000000,138620000000,155411,HTTPS://WWW.ALLIANZ.COM,OLIVER B TE,473540
1423,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LTD,THAILAND,,,,,,,MR THOMAS CHARLES WILSON,427793
1424,ALLIANZ PARTNERS,FRANCE,OTHER,2014,,,,,,473540
1425,ALLIANZ SAUDI FRANSI COOPERATIVE INSURANCE COMPANY,SAUDI ARABIA,,,,,,,MR ANUJ AGARWAL,129552
1426,ALLIANZ TECHNOLOGY TRUST,UK,ASSET MANAGEMENT,1995,1860000000,283000000,742,HTTPS://WWW.ALLIANZTECHNOLOGYTRUST.COM/,,72464
1427,ALLIANZGI NFJ DIVIDEND INTEREST PREMIUM STRATEGY FUND,USA,MEDICAL EQUIPMENT,,1486000000,168000000,,,,114559
1428,ALLIED BLENDERS DISTILLERS,INDIA,BEVERAGE,1986,,,,,,283013
1429,ALLIED CORP,CANADA,ENTERTAINMENT ESPORTS,1946,54320000,931000000,3448,HTTP://WWW.ALLIEDGROUP.COM.HK/,MR CALUM HUGHES,91096
1430,ALLIED DIGITAL SERVICES,INDIA,IT SERVICES CONSULTING,1995,,,,,,317872
1431,ALLIED ELECTRONICS CORP LTD,SOUTH AFRICA,,,,,7711,,MR MTETO NYATI BSC ENG,362507
1432,ALLIED FARMERS LTD,NEW ZEALAND,,,,,,,,73552
1433,ALLIED INTERNATIONAL SRL,ITALY,,,,,,,,305497
1434,ALLIED IRISH BANKS,DUBLIN,BANKS,1966,,,,,,234352
1435,ALLIED MOTION TECHNOLOGIES,USA,ELECTRONICS TECH,2000,600000000,,,,,283012
1436,ALLIED PROPERTIES H K,HONG KONG,FICIAL SERVICES,,2780000000,,,HTTP://WWW.ALLIEDPROPERTIES.COM.HK/,,166353
1437,ALLIED PROPERTIES REAL ESTATE INVESTMENT TRUST,CANADA,,2002,4499000000,437000000,328,HTTPS://WWW.ALLIEDREIT.COM/,MR MICHAEL R EMORY,209618
1438,ALLIED SECURITY HOLDINGS LLC,UNITED STATES,,,,,,,,25155
1439,ALLIED SUPREME CORP,TAIWAN,,,,,,,,36242
1440,ALLIED SUSTAINABILITY AND ENVIRONMENTAL CONSULTANTS GROUP LTD,HONG KONG,,,,,58,,,45927
